Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1533762000.0 150.0 76 150 244 0 NA NA NA 131 546 425 0 NA NA NA 2560 676 920 387 NA NA NA 3246 471 1033 544 NA NA NA
1533762000.0 150.1 NA 154 248 0 NA NA NA NA 599 409 0 NA NA NA NA 609 758 382 NA NA NA NA 667 889 646 NA NA NA
1533762000.0 150.2 NA 153 240 0 NA NA NA NA 607 388 0 NA NA NA NA 562 866 393 NA NA NA NA 497 1233 468 NA NA NA
1533762000.0 150.3 NA 155 236 0 NA NA NA NA 561 389 0 NA NA NA NA 476 802 396 NA NA NA NA 481 1282 463 NA NA NA
1533762000.0 158.0 72 180 340 0 NA NA NA 123 589 495 0 NA NA NA 2699 521 2037 1170 NA NA NA 3166 691 2962 1332 NA NA NA
1533762000.0 200.0 NA 182 331 0 NA NA NA NA 604 488 0 NA NA NA NA 992 2433 542 NA NA NA NA 1034 2569 832 NA NA NA
1533762000.0 2017.3 266 0 123 NA NA NA NA 696 0 202 NA NA NA NA 1245 291 962 NA NA NA NA 2317 436 1178 NA NA NA NA
1533762000.0 2017.8 178 NA NA NA NA NA NA 260 NA NA NA NA NA NA 578 NA NA NA NA NA NA 948 NA NA NA NA NA NA
1533762000.0 202.0 NA 158 337 0 NA NA NA NA 559 495 0 NA NA NA NA 977 2420 520 NA NA NA NA 1380 2555 623 NA NA NA
1533762000.0 203.0 NA 176 367 0 NA NA NA NA 603 504 0 NA NA NA NA 1058 2555 560 NA NA NA NA 1394 2321 774 NA NA NA
1533762000.0 204.0 95 167 339 0 NA NA NA 216 514 490 0 NA NA NA 2875 1088 2489 539 NA NA NA 2177 1030 2497 613 NA NA NA
1533762000.0 205.0 NA 183 340 0 NA NA NA NA 605 499 0 NA NA NA NA 1081 2502 536 NA NA NA NA 1243 2748 635 NA NA NA
1533762000.0 25405.0 449 0 131 NA NA NA NA 723 0 212 NA NA NA NA 4450 334 947 NA NA NA NA 5116 762 1076 NA NA NA NA
1533762000.0 280.0 137 108 267 0 NA NA NA 278 583 384 0 NA NA NA 3293 507 1772 524 NA NA NA 1605 562 2188 646 NA NA NA
1533762000.0 281.0 103 129 310 0 NA NA NA 287 592 465 0 NA NA NA 1882 595 1135 731 NA NA NA 1361 742 1286 1030 NA NA NA
1533762000.0 300.0 65 177 267 0 NA NA NA 144 612 440 0 NA NA NA 1093 1037 915 392 NA NA NA 1524 1157 1716 475 NA NA NA
1533762000.0 301.0 69 174 276 0 NA NA NA 149 612 451 0 NA NA NA 1260 663 907 379 NA NA NA 1840 1157 1728 467 NA NA NA
1533762000.0 302.0 67 176 273 0 NA NA NA 144 611 464 0 NA NA NA 1306 994 1089 405 NA NA NA 1719 1014 1662 464 NA NA NA
1533762000.0 4.22 NA 173 71 72 0 NA NA NA 260 117 141 0 NA NA NA 1378 287 443 304 NA NA NA 1028 387 434 365 NA NA
1533762000.0 4008.0 59 140 270 NA NA NA NA 125 603 414 NA NA NA NA 1373 548 2283 NA NA NA NA 1313 805 3248 NA NA NA NA
1533762000.0 503.0 42 0 NA NA NA NA NA 85 0 NA NA NA NA NA 179 112 NA NA NA NA NA 278 180 NA NA NA NA NA
1533762000.0 504.0 36 0 NA NA NA NA NA 83 0 NA NA NA NA NA 159 110 NA NA NA NA NA 237 195 NA NA NA NA NA
1533762000.0 505.0 40 0 NA NA NA NA NA 85 0 NA NA NA NA NA 150 110 NA NA NA NA NA 247 174 NA NA NA NA NA
1533762000.0 506.0 41 0 NA NA NA NA NA 87 0 NA NA NA NA NA 149 112 NA NA NA NA NA 248 224 NA NA NA NA NA
1533762000.0 507.0 42 0 NA NA NA NA NA 81 0 NA NA NA NA NA 181 111 NA NA NA NA NA 352 184 NA NA NA NA NA
1533762000.0 508.0 37 0 NA NA NA NA NA 86 0 NA NA NA NA NA 148 109 NA NA NA NA NA 260 177 NA NA NA NA NA
1533762000.0 509.0 42 0 NA NA NA NA NA 84 0 NA NA NA NA NA 137 110 NA NA NA NA NA 212 200 NA NA NA NA NA
1533762000.0 510.0 38 0 NA NA NA NA NA 86 0 NA NA NA NA NA 226 108 NA NA NA NA NA 365 174 NA NA NA NA NA
1533762000.0 511.0 42 0 NA NA NA NA NA 87 0 NA NA NA NA NA 9575 110 NA NA NA NA NA 12403 232 NA NA NA NA NA
1533762000.0 514.0 19 40 0 NA NA NA NA 61 93 0 NA NA NA NA 364 159 111 NA NA NA NA 1467 239 185 NA NA NA NA
1533762000.0 517.0 19 39 0 NA NA NA NA 61 93 0 NA NA NA NA 898 153 108 NA NA NA NA 1405 242 181 NA NA NA NA
1533762000.0 520.0 19 39 0 NA NA NA NA 60 93 0 NA NA NA NA 894 154 108 NA NA NA NA 1176 243 180 NA NA NA NA
1533762000.0 524.0 19 46 0 NA NA NA NA 61 94 0 NA NA NA NA 890 163 106 NA NA NA NA 1450 251 160 NA NA NA NA
1533762000.0 527.0 25 45 0 NA NA NA NA 61 92 0 NA NA NA NA 1016 183 131 NA NA NA NA 1500 307 284 NA NA NA NA
1533762000.0 530.0 17 36 0 NA NA NA NA 61 93 0 NA NA NA NA 1006 189 136 NA NA NA NA 1529 409 542 NA NA NA NA
1533762000.0 531.0 70 0 NA NA NA NA NA 194 0 NA NA NA NA NA 169 149 NA NA NA NA NA 594 532 NA NA NA NA NA
1533762000.0 535.0 106 0 NA NA NA NA NA 191 0 NA NA NA NA NA 3913 120 NA NA NA NA NA 2698 207 NA NA NA NA NA
1533762000.0 541.0 45 0 NA NA NA NA NA 98 0 NA NA NA NA NA 214 137 NA NA NA NA NA 612 361 NA NA NA NA NA
1533762000.0 545.0 48 0 NA NA NA NA NA 97 0 NA NA NA NA NA 217 140 NA NA NA NA NA 454 519 NA NA NA NA NA
1533762000.0 552.0 19 36 0 NA NA NA NA 61 92 0 NA NA NA NA 983 207 122 NA NA NA NA 1213 896 229 NA NA NA NA
1533762000.0 554.0 18 45 0 NA NA NA NA 61 92 0 NA NA NA NA 1768 169 131 NA NA NA NA 2450 287 254 NA NA NA NA
1533762000.0 556.0 19 38 0 NA NA NA NA 61 93 0 NA NA NA NA 370 198 126 NA NA NA NA 871 553 206 NA NA NA NA
1533762000.0 560.0 39 0 NA NA NA NA NA 87 0 NA NA NA NA NA 190 134 NA NA NA NA NA 472 365 NA NA NA NA NA
1533762000.0 561.0 42 0 NA NA NA NA NA 87 0 NA NA NA NA NA 206 130 NA NA NA NA NA 499 364 NA NA NA NA NA
1533762000.0 6.0 NA 107 257 0 NA NA NA NA 589 401 0 NA NA NA NA 2176 2552 605 NA NA NA NA 894 2341 686 NA NA NA
