Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533762000.0 11624.0 63 107 307 0 71 NA 104 150 365 0 110 NA 8589 2102 4775 3407 601 NA 12252 2677 5883 3636 758 NA
1533762000.0 11625.0 59 106 304 0 71 NA 102 149 362 0 110 NA 5101 2251 4289 3435 573 NA 5985 2645 4980 3640 689 NA
1533762000.0 11626.0 62 110 306 0 71 NA 107 152 371 0 110 NA 13621 2452 5745 3536 639 NA 17671 3193 6749 3770 857 NA
1533762000.0 11642.0 58 105 306 0 71 NA 102 148 362 0 110 NA 2383 1868 4129 3368 573 NA 3381 2247 4869 3585 714 NA
1533762000.0 117.0 66 77 231 NA NA NA 121 117 289 NA NA NA 7400 882 3783 NA NA NA 8489 1140 4357 NA NA NA
1533762000.0 118.0 66 77 229 NA NA NA 121 118 289 NA NA NA 7417 889 3835 NA NA NA 8218 1089 4583 NA NA NA
1533762000.0 119.0 65 75 232 NA NA NA 118 116 286 NA NA NA 4059 840 3447 NA NA NA 4617 1113 4041 NA NA NA
1533762000.0 12.0 NA 101 240 0 NA NA NA 179 305 0 NA NA NA 4277 7252 1440 NA NA NA 4605 8016 1621 NA NA
1533762000.0 120.0 58 76 226 NA NA NA 107 113 285 NA NA NA 1152 688 3248 NA NA NA 1347 939 3840 NA NA NA
1533762000.0 12024.0 63 107 311 0 NA NA 104 150 365 0 NA NA 8360 1654 4769 3478 NA NA 12046 2466 5625 3729 NA NA
1533762000.0 121.0 66 77 229 NA NA NA 121 118 289 NA NA NA 7404 915 3880 NA NA NA 8178 1145 4736 NA NA NA
1533762000.0 122.0 71 82 242 NA NA NA 118 116 289 NA NA NA 1318 504 3542 NA NA NA 1544 696 4080 NA NA NA
1533762000.0 123.1 211 NA NA NA NA NA 261 NA NA NA NA NA 2321 NA NA NA NA NA 2817 NA NA NA NA NA
1533762000.0 123.2 210 NA NA NA NA NA 262 NA NA NA NA NA 2541 NA NA NA NA NA 3102 NA NA NA NA NA
1533762000.0 123.3 187 NA NA NA NA NA 237 NA NA NA NA NA 1898 NA NA NA NA NA 2286 NA NA NA NA NA
1533762000.0 124.1 203 NA NA NA NA NA 251 NA NA NA NA NA 1903 NA NA NA NA NA 2296 NA NA NA NA NA
1533762000.0 124.2 210 NA NA NA NA NA 260 NA NA NA NA NA 2252 NA NA NA NA NA 2703 NA NA NA NA NA
1533762000.0 124.4 203 NA NA NA NA NA 251 NA NA NA NA NA 2035 NA NA NA NA NA 2461 NA NA NA NA NA
1533762000.0 124.5 198 NA NA NA NA NA 251 NA NA NA NA NA 2060 NA NA NA NA NA 2445 NA NA NA NA NA
1533762000.0 124.6 187 NA NA NA NA NA 237 NA NA NA NA NA 2167 NA NA NA NA NA 2610 NA NA NA NA NA
1533762000.0 125.0 70 83 251 NA NA NA 122 120 293 NA NA NA 5798 941 3843 NA NA NA 6204 1252 4385 NA NA NA
1533762000.0 126.0 63 82 248 NA NA NA 109 115 290 NA NA NA 2391 829 3661 NA NA NA 2701 1000 4263 NA NA NA
1533762000.0 127.0 60 81 248 NA NA NA 103 115 290 NA NA NA 2815 829 3690 NA NA NA 3145 1050 4257 NA NA NA
1533762000.0 128.0 62 82 241 NA NA NA 102 118 288 NA NA NA 1206 844 3649 NA NA NA 1515 1091 4239 NA NA NA
1533762000.0 129.0 62 81 242 NA NA NA 102 115 288 NA NA NA 1209 822 3637 NA NA NA 1417 1051 4298 NA NA NA
