Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1533675600.0 250409.0 386 0 143 NA NA NA NA 726 0 208 NA NA NA NA 1811 274 1094 NA NA NA NA 1495 573 1707 NA NA NA NA
1533675600.0 4.22 NA 169 82 90 0 NA NA NA 273 123 142 0 NA NA NA 974 229 413 254 NA NA NA 958 565 540 444 NA NA
1533675600.0 4.23 NA 74 301 0 NA NA NA NA 126 430 0 NA NA NA NA 414 3045 790 NA NA NA NA 416 2496 1028 NA NA NA
1533675600.0 4.28 NA 82 297 0 NA NA NA NA 139 407 0 NA NA NA NA 301 2818 2248 NA NA NA NA 455 3800 2651 NA NA NA
1533675600.0 4.55 NA 41 313 0 NA NA NA NA 98 456 0 NA NA NA NA 271 7489 636 NA NA NA NA 262 3933 905 NA NA NA
1533675600.0 4000.0 NA 139 302 NA NA NA NA NA 602 442 NA NA NA NA NA 2439 4111 NA NA NA NA NA 1046 2467 NA NA NA NA
1533675600.0 4001.0 NA 183 368 NA NA NA NA NA 602 518 NA NA NA NA NA 969 2404 NA NA NA NA NA 743 2049 NA NA NA NA
1533675600.0 4002.0 NA 135 297 NA NA NA NA NA 593 448 NA NA NA NA NA 2006 2626 NA NA NA NA NA 1243 1965 NA NA NA NA
1533675600.0 4003.0 NA 137 300 NA NA NA NA NA 596 419 NA NA NA NA NA 2042 2874 NA NA NA NA NA 1068 2182 NA NA NA NA
1533675600.0 4006.0 71 176 350 NA NA NA NA 145 604 495 NA NA NA NA 1087 797 2096 NA NA NA NA 783 648 2472 NA NA NA NA
1533675600.0 4007.0 65 118 305 NA NA NA NA 138 603 456 NA NA NA NA 1312 397 1595 NA NA NA NA 1228 682 2218 NA NA NA NA
1533675600.0 4008.0 49 0 0 NA NA NA NA 108 0 0 NA NA NA NA 434 260 1349 NA NA NA NA 837 360 1778 NA NA NA NA
1533675600.0 503.0 40 0 NA NA NA NA NA 86 0 NA NA NA NA NA 273 144 NA NA NA NA NA 286 379 NA NA NA NA NA
1533675600.0 504.0 40 0 NA NA NA NA NA 88 0 NA NA NA NA NA 193 148 NA NA NA NA NA 346 397 NA NA NA NA NA
1533675600.0 505.0 44 0 NA NA NA NA NA 87 0 NA NA NA NA NA 182 146 NA NA NA NA NA 380 369 NA NA NA NA NA
1533675600.0 506.0 45 0 NA NA NA NA NA 86 0 NA NA NA NA NA 187 137 NA NA NA NA NA 285 342 NA NA NA NA NA
1533675600.0 507.0 38 0 NA NA NA NA NA 86 0 NA NA NA NA NA 210 156 NA NA NA NA NA 286 471 NA NA NA NA NA
1533675600.0 508.0 37 0 NA NA NA NA NA 86 0 NA NA NA NA NA 190 129 NA NA NA NA NA 353 342 NA NA NA NA NA
1533675600.0 509.0 40 0 NA NA NA NA NA 84 0 NA NA NA NA NA 166 160 NA NA NA NA NA 275 578 NA NA NA NA NA
1533675600.0 510.0 40 0 NA NA NA NA NA 87 0 NA NA NA NA NA 273 152 NA NA NA NA NA 345 447 NA NA NA NA NA
1533675600.0 511.0 45 0 NA NA NA NA NA 91 0 NA NA NA NA NA 9745 138 NA NA NA NA NA 12426 368 NA NA NA NA NA
1533675600.0 512.0 21 44 0 NA NA NA NA 64 92 0 NA NA NA NA 2109 180 148 NA NA NA NA 9210 290 452 NA NA NA NA
1533675600.0 513.0 20 48 0 NA NA NA NA 64 92 0 NA NA NA NA 680 168 139 NA NA NA NA 1822 392 300 NA NA NA NA
1533675600.0 514.0 20 46 0 NA NA NA NA 68 93 0 NA NA NA NA 438 185 154 NA NA NA NA 1139 394 395 NA NA NA NA
1533675600.0 515.0 20 41 0 NA NA NA NA 64 92 0 NA NA NA NA 2132 197 128 NA NA NA NA 10480 511 318 NA NA NA NA
1533675600.0 516.0 20 49 0 NA NA NA NA 64 98 0 NA NA NA NA 675 189 143 NA NA NA NA 1146 253 458 NA NA NA NA
1533675600.0 517.0 20 48 0 NA NA NA NA 64 92 0 NA NA NA NA 1014 186 131 NA NA NA NA 1835 311 309 NA NA NA NA
1533675600.0 518.0 20 37 0 NA NA NA NA 68 91 0 NA NA NA NA 2206 185 137 NA NA NA NA 10216 383 279 NA NA NA NA
1533675600.0 519.0 21 41 0 NA NA NA NA 64 93 0 NA NA NA NA 667 191 132 NA NA NA NA 1306 537 326 NA NA NA NA
1533675600.0 520.0 21 38 0 NA NA NA NA 63 93 0 NA NA NA NA 983 217 144 NA NA NA NA 1614 485 311 NA NA NA NA
1533675600.0 521.0 21 49 0 NA NA NA NA 63 92 0 NA NA NA NA 662 170 150 NA NA NA NA 1372 400 414 NA NA NA NA
1533675600.0 522.0 22 37 0 NA NA NA NA 68 91 0 NA NA NA NA 2106 196 133 NA NA NA NA 6857 363 349 NA NA NA NA
1533675600.0 524.0 20 43 0 NA NA NA NA 64 93 0 NA NA NA NA 1000 204 140 NA NA NA NA 1847 578 329 NA NA NA NA
1533675600.0 525.0 22 49 0 NA NA NA NA 64 93 0 NA NA NA NA 678 183 144 NA NA NA NA 2862 300 383 NA NA NA NA
