Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533420000.0 140.51 NA 39 178 0 NA NA NA 91 274 0 NA NA NA 951 3963 933 NA NA NA 1692 4249 1039 NA NA
1533420000.0 140.52 NA 198 178 0 NA NA NA 319 273 0 NA NA NA 5704 3922 1118 NA NA NA 7806 4246 1245 NA NA
1533420000.0 140.53 NA 224 0 NA NA NA NA 319 0 NA NA NA NA 6744 1169 NA NA NA NA 7139 1552 NA NA NA
1533420000.0 140.54 NA 219 0 NA NA NA NA 324 0 NA NA NA NA 3926 1025 NA NA NA NA 4534 1147 NA NA NA
1533420000.0 144.6 NA 243 NA NA NA NA NA 334 NA NA NA NA NA 6442 NA NA NA NA NA 7118 NA NA NA NA
1533420000.0 145.0 74 78 173 0 NA NA 131 168 282 0 NA NA 5599 1012 2897 942 NA NA 6673 1823 3267 1033 NA NA
1533420000.0 148.0 54 103 292 0 NA NA 115 219 436 0 NA NA 2233 857 7144 2743 NA NA 3684 1595 9468 2849 NA NA
1533420000.0 149.0 60 104 293 0 NA NA 118 174 436 0 NA NA 2172 1102 7313 3081 NA NA 3597 1849 9473 3197 NA NA
1533420000.0 150.0 68 111 210 0 NA NA 132 219 366 0 NA NA 6104 1208 3544 1198 NA NA 7434 2140 4025 1299 NA NA
1533420000.0 150.1 NA 105 201 0 NA NA NA 182 322 0 NA NA NA 1067 2909 1187 NA NA NA 1812 3229 1288 NA NA
1533420000.0 150.2 NA 104 201 0 NA NA NA 181 322 0 NA NA NA 1058 3107 1223 NA NA NA 1906 3550 1352 NA NA
1533420000.0 150.3 NA 106 205 0 NA NA NA 181 322 0 NA NA NA 1109 3051 1179 NA NA NA 2156 3374 1289 NA NA
1533420000.0 158.0 67 119 306 0 NA NA 132 174 436 0 NA NA 6301 1062 6644 2961 NA NA 7574 1977 7548 3083 NA NA
